Reference,Left,KWIC,Right
"PA720454,2017-07-06,Houbron, Dimitri",responsables ! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous,nous sommes engagés,", apaisés, déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés."
"PA720454,2017-07-06,Houbron, Dimitri",responsables ! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous,"nous sommes engagés , apaisés",", déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La"
"PA720454,2017-07-06,Houbron, Dimitri",responsables ! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous,"nous sommes engagés , apaisés, déterminés",et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La discussion
"PA719608,2017-07-06,Ménard, Emmanuelle",". Nous veillerons à ce qu'' il tienne parole, d'' autant que dans ce domaine, en matière de promesses non tenues, nous",avons été servis,. Premier exemple : l'' état d'' urgence devait nous permettre de fermer plus facilement les mosquées radicales. Qu'' en
"PA330240,2017-07-06,Ciotti, Éric","grand nombre de délits, notamment au regard de l'' encombrement de la cour d'' assises. Nous pensons que beaucoup de faits",pourraient être plus lourdement sanctionnés,"si nous modifiions cette échelle des peines, en portant le quantum applicable à un délit de terrorisme à un maximum de"
"PA2828,2017-07-06,Tourret, Alain","grave car elle revient, qu'' on le veuille ou non, à remettre en cause les libertés publiques. Or de telles atteintes ont",déjà été sanctionnées,– cela a été rappelé – par les plus hautes autorités françaises et européennes en matière de droits de l'' Homme . J '' ai
"PA2828,2017-07-06,Tourret, Alain","grave car elle revient, qu'' on le veuille ou non, à remettre en cause les libertés publiques. Or de telles atteintes ont",déjà été sanctionnées – cela a été,rappelé – par les plus hautes autorités françaises et européennes en matière de droits de l'' Homme . J '' ai totalement
"PA335612,2017-07-10,Lecoq, Jean-Paul","début de son examen en séance ne peut être inférieur à sept jours – un délai serré, mais acceptable. Lorsque la procédure",accélérée est engagée,", comme c'' est le cas pour ce texte, le texte doit être mis à disposition "" dans les meilleurs délais "". Nul doute que cette"
"PA720878,2017-07-10,Saint-Martin, Laurent","la remise, avant le 30 septembre prochain, d'' un rapport sur l'' expérimentation conduite cet été. Le ministre s",'' est engagé,à informer de façon complète et rapide la commission des finances sur les résultats de l'' expérimentation et de l'' audit
"PA720422,2017-07-10,Quatennens, Adrien","opposer farouchement à ce texte, je veux ici, au nom de celles et ceux qui, le temps d'' un court instant, accepteraient d",'' être représentés,"par un député de La France insoumise, contester vivement la méthode que le Gouvernement nous impose . Prenons un"
"PA610681,2017-07-10,Bareigts, Ericka",". Cela prouve bien que le dispositif n'' est pas impossible à mettre en œuvre. Lors de la campagne présidentielle, vous",vous êtes engagés,"par écrit auprès des organisations syndicales à procéder d'' abord à une analyse précise de la situation, à travers la"
"PA267585,2017-07-10,Vercamer, Francis","pour l'' employeur que pour le salarié. Dans le même esprit, nous pensons nécessaire qu'' une erreur de forme ne puisse",pas être sanctionnée,de la même manière qu'' une erreur de fond. Nous approuvons également la volonté affichée par le Gouvernement de
"PA719608,2017-07-10,Ménard, Emmanuelle",opération à une société qui emploie de la main-d''œuvre étrangère de peur de ne pas respecter la loi à la lettre et donc d,'' être sanctionnées,. Il nous faut donc aborder ce chantier de la loi travail en gardant en tête qu'' elle doit servir en premier lieu les plus
"PA608292,2017-07-10,Dubié, Jeanine","notion même de branche ? Pourquoi vouloir modifier largement les dispositions actuelles, alors qu'' une réflexion de",fond est déjà engagée,"? N'' est - ce pas, en définitive, vouloir avancer à marche forcée ? Très bien ! Il faut rejoindre nos rangs madame ! La"
"PA722102,2017-07-10,Vidal, Annie",qui nous prédisposent à accomplir ce mandat. Il n'' y a pas beaucoup d'' ouvriers parmi vous ! Nous souhaiterions que,cela soit respecté,". Il y va de la qualité de nos débats à venir. Pour ce qui est de l'' examen du texte en commission des affaires sociales, ce"
"PA722102,2017-07-10,Vidal, Annie","qualifiez de silence, voire d'' incompétence, est en fait l'' expression de la fidélité à un programme sur lequel nous",nous sommes engagés,". Enfin, ce que nous avons entendu en allant très largement à la rencontre de nos électeurs, quels qu'' ils soient – ceux"
",2017-07-10,","parler madame la ministre, s'' il vous plaît ! Je vous ai écouté : je vous remercie de m'' écouter à votre tour. Comme je m''",y suis engagée,", je souhaite apporter des précisions sur ce que nous avons retenu à ce jour de la concertation concernant le premier"
",2017-07-10,",personnes. Impossible de trouver des salariés sur le marché local de l'' emploi. Les syndicats ont donc proposé que des,femmes soient recrutées,"pour ce métier considéré comme un métier d'' hommes. Dès lors, les postes de travail devaient être adaptés. Un accord"
",2017-07-10,",personnes. Impossible de trouver des salariés sur le marché local de l'' emploi. Les syndicats ont donc proposé que des,femmes soient recrutées pour ce métier considéré,"comme un métier d'' hommes. Dès lors, les postes de travail devaient être adaptés. Un accord portant sur la qualité de vie"
