Name,Reference,Left,KWIC,Right,variant,potential_passive,verb_transitivity,complement,lemma
"PA334149,Fasquelle, Daniel","PA334149,2017-10-17",Président de la République nous a expliqué lors de son entretien télévisé qu'' il fallait utiliser des mots directs pour,se faire comprendre,". Je vais donc, à mon tour, utiliser un mot direct : népotisme. Le népotisme consiste à accorder des droits particuliers",se faire,1,transitive,0,comprendre
"PA720430,Bernalicis, Ugo","PA720430,2017-10-17","des cafards la nuit – dans 9 mètres carrés, ils deviennent véritablement vos colocataires –, la manière de ne pas",se faire piquer,"par les punaises de lit qui se trouvent dans les couvertures fournies par le CROUS , la manière d'' esquiver les rats, la",se faire,1,transitive,par,piquer
"PA721202,Coquerel, Éric","PA721202,2017-10-18","avec l'' aide des parlementaires, a fait revenir par la fenêtre sous le nom de traité de Lisbonne , avant que M. Hollande ne",se fasse élire,en affirmant qu'' il ne signerait pas le TSCG en l'' état. Or ces traités successifs contiennent le traité de Maastricht,se faire,1,transitive,0,élire
"PA335612,Lecoq, Jean-Paul","PA335612,2017-10-24","de notre peuple, la puissance et la grandeur de notre Europe ? Bravo camarade ! Un communiste de plus ! Encore un qui va",se faire exclure,"! La parole est à Mme la ministre du travail. Monsieur le député, je me concentrerai sur le travail détaché, puisque c''",se faire,1,transitive,0,exclure
"PA607846,Darmanin, Gérald","PA607846,2017-10-24","de ne rien changer ! Ce n'' est pas ce qu'' on dit ! Il faut réformer, mais pas comme ça ! Pourtant, il n'' y a pas si longtemps,",vous vous faisiez applaudir,"à bon compte sur ce sujet dans les réunions publiques. Vous y étiez, vous ? Ne faites pas référence à la campagne passée !",se faire,1,transitive,0,applaudir
"PA720286,Fiat, Caroline","PA720286,2017-10-24",", mais son mari étant en fin de droits, elle ne peut pas arrêter de travailler et donc perdre la moitié de son salaire pour",se faire soigner,". Elle recule donc l'' échéance des soins, jusqu'' à ce qu'' enfin elle commence les traitements, mais il est trop tard. Eh",se faire,1,transitive,0,soigner
"PA722086,Taquet, Adrien","PA722086,2017-10-24","tous. C '' est vrai pour l'' apprentissage scolaire, c'' est vrai pour l'' accès à un droit aussi élémentaire que le droit de",se faire soigner,". Agir là où les inégalités se créent, c'' est favoriser le dédoublement de classes dans les établissements scolaires",se faire,1,transitive,0,soigner
"PA720046,Dufeu, Audrey","PA720046,2017-10-24",", d'' abord. La liberté de choisir ! Les débats à venir dans cet hémicycle évoqueront certainement la liberté de ne pas",se faire vacciner,". Nous disposons tous en effet, chers collègues, de la liberté de choisir de nous faire vacciner ou non. Permettez - moi",se faire,1,transitive,0,vacciner
"PA720046,Dufeu, Audrey","PA720046,2017-10-24",. La vaccination est l'' un des premiers piliers de l'' égalité de la prévention. À ceux qui n'' ont pas la chance de pouvoir,se faire vacciner,", ainsi qu'' aux plus fragiles, dont le système immunitaire est amoindri et pour lesquels un foyer infectieux ou viral",se faire,1,transitive,0,vacciner
"PA331582,Vigier, Philippe","PA331582,2017-10-26","amis résidant à l'' étranger, qui sont obligés de souscrire, dans leur pays de résidence, des assurances sociales pour",se faire soigner,", pardonnez-moi de le rappeler. Enfin, madame la ministre, ce que vous dites de la CSG est vrai : elle participe à la",se faire,1,transitive,0,soigner
"PA642788,Véran, Olivier","PA642788,2017-10-26","ambitieux en faveur de l'' accès aux soins dans l'' ensemble des territoires. Lorsque l'' on souffre d'' une facture, il faut",se faire opérer,", dites-vous. C '' est vrai, mais encore faut - il le bon traitement. Par exemple, on n'' opère pas quelqu''un qui a la grippe",se faire,1,transitive,0,opérer
"PA719326,Gipson, Séverine","PA719326,2017-10-26","Gipson . Le RSI est un échec. Nous ne pouvons pas laisser des artisans, des commerçants, des entrepreneurs individuels",se faire étrangler,financièrement par le RSI et se faire poursuivre par les huissiers sans aucune voie de recours. La création du RSI a été,se faire,1,transitive,par,étrangler
"PA719326,Gipson, Séverine","PA719326,2017-10-26","des artisans, des commerçants, des entrepreneurs individuels se faire étrangler financièrement par le RSI et",se faire poursuivre,"par les huissiers sans aucune voie de recours. La création du RSI a été suivie d'' une mise en œuvre chaotique, qui a",se faire,1,transitive,par,poursuivre
"PA642788,Véran, Olivier","PA642788,2017-10-27",", qu'' il n'' y a pas de continuité entre le médical et le médico-social. Nous sommes dans un pays où, selon la région où",vous vous faites opérer,", vous avez entre 18 % et 82 % de risques d'' aller en rééducation après la pose d'' une prothèse de hanche, alors que les",se faire,1,transitive,0,opérer
"PA642788,Véran, Olivier","PA642788,2017-10-27","que des patients m'' appelleront le lundi matin, pendant mes consultations, pour me demander où leur grand-mère doit",se faire opérer,"de la hanche ou surtout dans quel établissement il ne faut pas qu'' elle aille, c'' est qu'' on aura des problèmes d''",se faire,1,transitive,0,opérer
"PA720422,Quatennens, Adrien","PA720422,2017-10-27","ce qui concerne les prothèses dentaires. Avec cet article, les Français qui ne renoncent pas aux soins ou ne partent pas",se faire soigner,à l'' étranger continueront durant une année de plus à payer en moyenne 23 % de leurs frais dentaires au titre du reste à,se faire,1,transitive,0,soigner
"PA720988,Manin, Josette","PA720988,2017-10-31",le non-renouvellement des moyens matériels et par un déficit en constante augmentation. Je ne vous le cacherai pas :,se faire soigner,devient un défi quotidien pour les Martiniquaises et les Martiniquais . Je prendrai pour exemple l'' hôpital Louis,se faire,1,transitive,0,soigner
"PA721418,Mignola, Patrick","PA721418,2017-10-31",". Nous souhaiterions avoir cette petite précision, madame, pour vous aider à faire le job. Si vous coopérez trop,",vous allez vous faire exclure,"! La parole est à M. le rapporteur spécial. Comme mon collègue, je pourrais retirer mon amendement si votre engagement",se faire,1,transitive,0,exclure
"PA720100,Pradié, Aurélien","PA720100,2017-11-03","le dernier vestige d'' un service public, quand ce ne sont pas les forces de police venues de l'' extérieur, ... Et qui",se font agresser,"! ...parce que l'' on a fait disparaître les commissariats de proximité, lesquels, si j'' ai bien compris, ne vont pas",se faire,1,transitive,0,agresser
"PA721062,Ratenon, Jean-Hugues","PA721062,2017-11-09","gouvernement en gouvernement, de président en président, y tourne a nou toujour carrysou de riz – on finit toujours par",se faire avoir,". D '' année en année, depuis plus d'' un demi-siècle, nous battons des records en matière d'' inégalités. Dois - je vous",se faire,1,transitive,0,avoir
"PA333421,Pancher, Bertrand","PA333421,2017-11-09",", faisons attention au signal envoyé. Nous y reviendrons lors de l'' examen des amendements. Enfin, pour ceux qui",se font rouler,"par Bercy expliquant que les moyens manquent, je rappelle que le crédit carbone rapporte aujourd''hui 8 milliards et",se faire,1,transitive,par,rouler
"PA719608,Ménard, Emmanuelle","PA719608,2017-11-13","était autre que la directrice de cabinet de Jérôme Cahuzac , ministre délégué au budget qui, décidément, n'' arrive pas à",se faire oublier,". Eh oui ! Mais il n'' est pas question de s'' arrêter aux lampistes – si j'' ose dire, bien qu'' il s'' agisse, en l'' occurrence, de",se faire,1,transitive,0,oublier
"PA719146,Acquaviva, Jean-Félix","PA719146,2017-11-14","est le fondement de l'' identité. Nous sommes plusieurs milliers de locuteurs à penser, rêver, écrire en langue corse, à",nous exprimer et à nous faire comprendre,"dans cette langue, y compris à l'' extérieur de la Corse – en ce qui me concerne, par exemple, en Italie . C '' est le cas",se faire,1,transitive,0,comprendre
"PA718926,Dharréville, Pierre","PA718926,2017-11-21",""" au vu des éléments de preuve fournis par les parties "". Je dis cela en pensant à tous ceux et celles qui ont réussi à",se faire réintégrer,"dans leur entreprise parce qu'' ils ont eu les moyens de se défendre. Neuvièmement, vos ordonnances s'' écartent d'' une",se faire,1,transitive,0,réintégrer
"PA606712,Lurton, Gilles","PA606712,2017-11-21","d'' infériorité pour défendre ses propres intérêts, rien ne l'' empêchera demain, pas plus qu'' aujourd''hui, de",se faire assister,"par le représentant syndical de son choix. Ensuite, pour ce qui est de la fusion des comités d'' entreprise et des comités",se faire,1,transitive,par,assister
"PA719930,Vallaud, Boris","PA719930,2017-11-21",", qui veut que le chef du parti majoritaire soit choisi par le bon vouloir du Président de la République avant d'' aller",se faire acclamer,". Il faut toutefois vous reconnaître une certaine cohérence, une certaine constance, chers collègues de la majorité,",se faire,1,transitive,0,acclamer
"PA606712,Lurton, Gilles","PA606712,2017-11-21","! Le droit d'' amendement, le droit de discuter, le droit de répéter plusieurs fois la même chose s'' il le faut pour mieux",se faire comprendre,", nous conduit parfois à améliorer les textes qui nous sont présentés – je pourrais citer des exemples sous ce",se faire,1,transitive,0,comprendre
"PA720512,Pietraszewski, Laurent","PA720512,2017-11-21",", le mode de fonctionnement est déjà celui -là. Le dialogue aura donc lieu. Peut-être les salariés auront - ils envie de",se faire assister,". Ils iront à la bourse du travail, ils rencontreront quelqu''un qui exerce un mandat syndical. La présence syndicale se",se faire,1,transitive,0,assister
"PA720512,Pietraszewski, Laurent","PA720512,2017-11-23","doute plus contractuelles et permettront à chacun de redémarrer rapidement. Le salarié, qui n'' aura plus besoin de",se faire assister,"d'' un avocat, donc d'' investir dans ses honoraires une partie des indemnités de dommages et intérêts qu'' il espère",se faire,1,transitive,de,assister
"PA719930,Vallaud, Boris","PA719930,2017-11-23",sensibles. Quel sera le coût du recours aux services du médecin inspecteur du travail ? Un agent de l'' État pourra -t - il,se faire rémunérer,", alors les services étaient gratuits auparavant ? Enfin, qu'' en est -il du secret médical ? En effet, lorsqu'' un dossier",se faire,1,transitive,0,rémunérer
"PA718860,Taurine, Bénédicte","PA718860,2017-11-23","les indemnités étant dans ce cas inférieures à celles du licenciement économique. Par ailleurs, seuls 7 % des salariés",se font assister,pour rédiger cette rupture conventionnelle. Cette très faible assistance des salariés dans la négociation de leur,se faire,1,transitive,0,assister
"PA606171,Ferrand, Richard","PA606171,2017-11-27","construisent avec des traditions, des rites et des symboles : les Grecs recouraient aux sacrifices, les rois de France",se faisaient sacrer,", le mariage est presque universellement partagé, nous brisons – en Bretagne comme ailleurs – des bouteilles de",se faire,1,transitive,0,sacrer
"PA720422,Quatennens, Adrien","PA720422,2017-11-28","et patronales, que vous renommez charges sociales ou encore gain de pouvoir d'' achat. Pour les Français , cela revient à",se faire détrousser,"du contenu d'' une poche et à voir l'' autre se remplir un peu moins, discipline dans laquelle les six premiers mois de cette",se faire,1,transitive,0,détrousser
"PA605694,Falorni, Olivier","PA605694,2017-11-29","n'' aurait jamais fait voter sa loi sur l'' interruption volontaire de grossesse. Elle, la rescapée d'' Auschwitz , qui",se fit accuser,"dans cet hémicycle de jeter les embryons au four crématoire ! Ne me répondez pas non plus, madame la ministre, que la loi",se faire,1,transitive,0,accuser
"PA642764,Aviragnet, Joël","PA642764,2017-11-29","une évaluation annuelle à compter de 2019. Enfin, je remercie Mme Firmin Le Bodo de nous avoir rappelé qu'' il faut",se faire vacciner,"contre la grippe : j'' irai dès demain matin ! Quel est l'' avis de la commission ? Comme je l'' ai dit en commission, nous avons",se faire,1,transitive,0,vacciner
"PA267289,Door, Jean-Pierre","PA267289,2017-11-29","l'' Institut Pasteur ou le directeur du Haut Conseil de la santé publique , ont répondu aux questions suivantes : faut - il",se faire vacciner,"? comment se faire vacciner ? qu'' est -ce que la vaccination ? Je ferai une proposition, même si elle revient peut-être à",se faire,1,transitive,0,vacciner
"PA267289,Door, Jean-Pierre","PA267289,2017-11-29","du Haut Conseil de la santé publique , ont répondu aux questions suivantes : faut - il se faire vacciner ? comment",se faire vacciner,"? qu'' est -ce que la vaccination ? Je ferai une proposition, même si elle revient peut-être à enfoncer une porte ouverte :",se faire,1,transitive,0,vacciner
"PA720286,Fiat, Caroline","PA720286,2017-11-29","payant soit empêchée du fait de l'' absence d'' un logiciel. Il y a à peine une heure, nous débattions de l'' obligation de",se faire vacciner,". Comment fait la maman s'' il lui manque les 26 euros d'' honoraires du médecin ? Elle présente sa carte Vitale ! Non,",se faire,1,transitive,0,vacciner
"PA720286,Fiat, Caroline","PA720286,2017-11-29",' elles n'' ont pas les moyens d'' avancer les frais. Qu'' attendons - nous pour agir ? Nous voulons obliger nos concitoyens à,se faire vacciner,et à se soigner mais nous ne leur en donnons pas les moyens. Est - ce là votre nouvelle manière de faire de la politique ?,se faire,1,transitive,0,vacciner
"PA721726,Mauborgne, Sereine","PA721726,2017-11-29",ne pensent pas au tiers payant en amont de leurs soins. Il est faux de prétendre qu'' aujourd''hui certaines personnes ne,se font pas soigner,"faute de moyens. Les professionnels de santé sont des personnes responsables, capables de soigner en différant le",se faire,1,transitive,0,soigner
"PA720696,Descamps, Béatrice","PA720696,2017-11-30","dédiées, où les enfants jouent sur des tablettes, où les animaux sont massacrés par milliards, où des filles peuvent",se faire violer,"dans des lieux publics sans que personne leur vienne en aide, où les personnes âgées se retrouvent isolées, où le bien",se faire,1,transitive,0,violer
"PA712015,Dive, Julien","PA712015,2017-11-30","oranges du MODEM . Mais si ! Ce sont les bénévoles de toutes les banques alimentaires qui portaient ces gilets, afin de",se faire remarquer,", de sensibiliser et d'' inciter les Français à être solidaires de ceux qui sont dans le besoin. Nous étions avec eux !",se faire,1,transitive,0,remarquer
"PA227076,Gourault, Jacqueline","PA227076,2017-11-30",". Toutefois, je rappelle également que le département ne dispose pas de compétence en matière de GEMAPI . J'' espère que",je me fais bien comprendre,. La parole est à M. Marc Fesneau . Nous ne voterons pas cet amendement. On l'' a dit clairement : l'' objet de ce texte n'' est,se faire,1,transitive,0,comprendre
"PA717153,Buzyn, Agnès","PA717153,2017-12-05","sont complémentaires, car ils visent à toucher des publics différents. Il existe aujourd''hui quatre façons de",se faire dépister,": le test pratiqué dans un laboratoire d'' analyses médicales – 5,3 millions de tests ont été réalisés en 2016 – ; les test",se faire,1,transitive,0,dépister
"PA719194,de Courson, Yolaine","PA719194,2017-12-05",", rappelons - le, font appel à des emplois non délocalisables, ces personnes n'' auraient que de très faibles chances de",se faire embaucher,". Or , le projet de loi de finances pour 2018 prévoit une baisse de 4 % du montant global des aides, doublée d'' une baisse de",se faire,1,transitive,0,embaucher
"PA405480,Pupponi, François","PA405480,2017-12-08",de la commission ? Défavorable. Quel est l'' avis du Gouvernement ? Défavorable. La parole est à M. François Pupponi .,Je voudrais me faire bien comprendre,". Le taux réduit de TVA s'' obtient logement par logement. Si , dans 90 % des logements de l'' immeuble, il a été obtenu",se faire,1,transitive,0,comprendre
"PA607846,Darmanin, Gérald","PA607846,2017-12-15",est l'' élu de la nation. Il est le plus souvent investi par un parti politique mais a le droit d'' en changer ou de,se faire élire,"sans être investi par aucun parti ou sans y être rattaché. Dans ce cas, le fait que la seconde fraction de l'' aide publique",se faire,1,transitive,0,élir
"PA333818,Hutin, Christian","PA333818,2017-12-18",", pour être in the mood, en phase avec le nouveau monde, cet accord n'' est pas open bar mais il n'' y aura pas de testing pour",se faire soigner,"en France . Speak french, please ! Essayons , mes chers collègues d'' utiliser la langue française qui est suffisamment",se faire,1,transitive,0,soigner
"PA721210,Corbière, Alexis","PA721210,2017-12-18","nous faire croire que des patients algériens arriveraient, avec une dangereuse facilité, dans nos hôpitaux pour",se faire soigner,"aux frais du contribuable français. Nous connaissons aujourd''hui les sites qui relaient ces arguments, les répètent",se faire,1,transitive,0,soigner
"PA721210,Corbière, Alexis","PA721210,2017-12-18","de nos concitoyens. Non, il est faux de dire que des patients algériens viennent aux frais du contribuable français",se faire soigner,"en France . Mais, il est exact que le mauvais calibrage de la convention précédente et les accords noués directement par",se faire,1,transitive,0,soigner
"PA335612,Lecoq, Jean-Paul","PA335612,2017-12-18","de ce parcours de soins le plus simple et le mieux balisé, et de limiter ainsi le nombre d'' Algériens qui viendraient",se faire soigner,"en dehors de ce cadre et coûteraient donc plus cher aux hôpitaux français. À l'' intérieur de ce chemin, tout sera clair",se faire,1,transitive,0,soigner
"PA335612,Lecoq, Jean-Paul","PA335612,2017-12-18","qui fantasment sur l'' invasion de ressortissants algériens qui viendraient, aux frais du contribuable français,",se faire soigner,"dans nos hôpitaux. Il recueille un consensus parmi les parlementaires, à l'' exclusion de l'' extrême-droite, tant sur",se faire,1,transitive,0,soigner
"PA335612,Lecoq, Jean-Paul","PA335612,2017-12-18","loin des discours abjects que j'' ai pu lire, selon lesquels ce protocole permettra aux Algériens de venir plus nombreux",se faire soigner,"en France . C '' est faux, et, je tenais à le dire ici, seule la plus misérable des idéologies est capable de tant de",se faire,1,transitive,0,soigner
"PA722178,Maire, Jacques","PA722178,2017-12-18",directement aux urgences. Je confirme qu'' il ne vise ni à augmenter le nombre d'' Algériens qui viendraient en France,se faire soigner,", ni à les soigner aux frais du contribuable français. Il s'' agit au contraire d'' encourager la mise en place d'' une chaîne",se faire,1,transitive,0,soigner
"PA720310,Arend, Christophe","PA720310,2018-01-22",en France parce que son diplôme n'' est pas reconnu. Nous ne pouvons pas accepter qu'' un Français ait des difficultés pour,se faire soigner,en Allemagne . Nous ne pouvons accepter que les tribunaux de chaque côté de la frontière ne puissent s'' accorder sur le,se faire,1,transitive,0,soigner
"PA720546,Bruneel, Alain","PA720546,2018-01-23",de l'' accompagnement d'' une personne âgée en perte d'' autonomie à son domicile pendant plusieurs jours successifs en,se faisant remplacer,"par ce qu'' on appelle familièrement un "" baluchonneur "". S '' il est bien évident que les proches aidants doivent pouvoir s",se faire,1,transitive,par,remplacer
"PA609590,Rabault, Valérie","PA609590,2018-01-23","versées par la PAC. L'' administration doit également pouvoir préciser que, lors du contrôle, l'' agriculteur peut",se faire accompagner,par la personne de son choix. Quel est l'' avis de la commission ? Il me semble que là encore nous sommes dans le champ,se faire,1,transitive,par,accompagner
"PA721202,Coquerel, Éric","PA721202,2018-01-24","prenantes seront présentes. J'' espère qu'' un agenda de paix pourra alors être dessiné. Et nos alliés, on les laisse",se faire bombarder,? Nous avons terminé les questions au Gouvernement . La séance est suspendue. La séance est reprise. L'' ordre du jour,se faire,1,transitive,0,bombarder
"PA721498,Guerini, Stanislas","PA721498,2018-01-24",avis de la commission ? Je maintiens l'' avis défavorable donné en commission. Le comité consultatif peut d'' ores et déjà,se faire assister,"par toute personne susceptible d'' avoir une expertise. De plus, la notion de "" personnalité qualifiée "", sur laquelle",se faire,1,transitive,par,assister
"PA721498,Guerini, Stanislas","PA721498,2018-01-24","pour les contrôles des URSSAF , me semble -t - il. Quel est l'' avis de la commission ? Lors d'' un contrôle, le cotisant peut",se faire assister,"et une phase contradictoire précède le procès-verbal. Je suis donc défavorable à cet amendement, déjà satisfait. La",se faire,1,transitive,0,assister
"PA721024,Genetet, Anne","PA721024,2018-01-25","voulez renouveler ou établir ces documents, il vous faut un justificatif de domicile en France . Beaucoup trichent en",se faisant domicilier,chez un parent – quitte à être soi-même très âgé – ou chez un ami. Il existe pourtant un outil : l'' attestation de résidence,se faire,1,transitive,0,domiciler
