"corpus","preloaded/ske_parlamint21_fr"
"subcorpus","-"
"concordance size","1193"
"query","Query:[lemma=""se""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""je""] []{0,3} [lemma=""me""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""tu""] []{0,3} [lemma=""te""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""vous""] [tag!=""Fc""]{0,3} [lemma=""vous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""nous""] [tag!=""Fc""]{0,3} [lemma=""nous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""]"
"Reference","Left","KWIC","Right"
"PA718710,2017-07-27","sont souvent démunis devant la réglementation et qui, à cause de budgets restreints, n'' ont pas toujours les moyens de","se faire accompagner","de tout le personnel dont ils auraient besoin. Les maires n'' attendent pas forcément plus d'' argent ; beaucoup d'' entre"
"PA609726,2017-07-27",", comme le savent tous ceux d'' entre vous ayant déjà déjeuné avec des avocats ou des membres d'' autres professions qui","se font rembourser","leurs frais professionnels : vous payez la moitié de la note, et eux font mine de régler le total pour se le faire"
"PA266774,2017-07-27","pourrait également porter atteinte au droit au respect de la vie privée. L'' atteinte à la vie privée, c'' est de","se faire communiquer","des informations ! La parole est à M. Pierre-Henri Dumont . Avez - vous suivi la nomination du Gouvernement ? Sur les"
"PA721960,2017-07-28","des journaux et en quoi cela peut biaiser la manière d'' y traiter l'' information. L'' information est cruciale pour","se faire une opinion, avoir","confiance dans ce qui est dit et rapporté sur la vie politique, sur la vie publique. Nous sommes donc au cœur de nos débats"
"PA720644,2017-07-28",". C '' est un mauvais coup porté au Parlement , car il est pour le moins ahurissant de voir aujourd''hui notre assemblée","se faire hara-kiri et supprimer","une mesure pour laquelle nos aînés s'' étaient battus au début de la Ve République , car ils avaient lutté pour avoir la"
"PA720692,2017-07-28","de mon temps de parole pour lancer un appel à toutes les communes rurales, à toutes les associations : elles doivent","se faire entendre",", elles doivent faire remonter la colère, car elles feront peut-être modifier cette loi que vous voulez adopter. J''"
"PA718926,2017-07-28","est épais ! La parole est à M. Pierre Dharréville . Vous ne serez pas surpris que je joigne ma voix à celles qui viennent de","se faire entendre","dans cet hémicycle pour dénoncer ce qui me semble être, au minimum, une maladresse, quoique je craigne que ce soit bien"
"PA719608,2017-08-03","dorénavant nous méfier des mots, des simples mots, des mots de tous les jours, des mots de tout le monde. Il faudra ruser,","se faire comprendre","à mi-mots, donner dans l'' allusion. Il faudra être sans arrêt sur nos gardes. Mentir et se mentir. Tout va bien se passer,"
"PA720862,2017-08-03",". C '' est pourtant ce qui va se passer ! Vous pouvez m'' accuser de naïveté si vous le souhaitez, mais je considère que","nous pouvons nous faire confiance pour exiger","que, dans la prochaine loi de finances, cet argent ne soit pas sacrifié, mais qu'' il réponde à d'' autres modalités d''"
"PA267901,2017-09-25","est à M. Mansour Kamardine . Monsieur le ministre d'' État , à défaut de pouvoir vous inviter à découvrir l'' Amérique , je","vous propose de vous faire connaître","Mayotte , territoire français depuis 1841, devenu le 101e département en 2011, et confronté à de graves problèmes de"
"PA1012,2017-09-25","dissuadés d'' y pénétrer, car il y avait des fouilles à l'' entrée. Ils sont alors repartis tranquillement pour","se faire sauter","aux abords immédiats du Stade de France . Cela montre bien qu'' il ne suffit pas de refouler les terroristes ou de les"
"PA906,2017-09-25","d'' État . Dans tous les stades de France , on procède en général à des palpations et, lorsque quelqu''un ne veut pas","se faire fouiller",", on n'' appelle pas forcément une brigade de CRS , mais on lui refuse l'' entrée. C '' est ce qui se produira lors de grandes"
